ISSUE DATE,ISIN,COUPON,MATURITY DATE,2022-01-010,2022-01-011,2022-01-012,2022-01-013,2022-01-014,2022-01-017,2022-01-018,2022-01-019,2022-01-020,2022-01-021
12/15/1991,CA135087UM44,0.0925,2022/6/1,103.4003904,103.3706438,103.3408973,103.2611507,103.2214041,103.1721644,103.1324178,103.1126712,103.0429247,103.0331781
8/17/2020,CA135087L369,0.0025,2022/11/1,99.5504863,99.54049315,99.5205,99.52050685,99.5005137,99.43053425,99.4005411,99.42054795,99.43055479,99.46056164
10/6/2017,CA135087H490,0.0175,2023/3/1,100.9463288,100.9363767,100.9164247,100.8864726,100.8665205,100.7666644,100.7167123,100.7167603,100.7168082,100.7568562
5/14/2021,CA135087M359,0.0025,2023/8/1,98.80911644,98.80112329,98.78113014,98.73713699,98.61114384,98.61116438,98.55417123,98.55017808,98.55918493,98.61219178
10/22/2021,CA135087M920,0.0075,2024/2/1,99.20334932,99.20336986,99.16339041,99.13341096,99.09343151,98.92349315,98.8435137,98.84353425,98.83355479,98.90336986
4/5/2019,CA135087J967,0.015,2024/9/1,100.5654247,100.6354658,100.6255068,100.5855479,100.525589,100.2957123,100.2157534,100.1557945,100.1758356,100.2758767
8/2/1994,CA135087VH40,0.09,2025/5/1,125.1424658,125.1727123,125.0929589,125.0132055,124.9134521,124.5841918,124.3744384,124.2946849,124.2549315,124.4051781
4/3/2020,CA135087K940,0.005,2025/9/1,96.81180822,96.81182192,96.77183562,96.77184932,96.68186301,96.43190411,96.26191781,96.15193151,96.19194521,96.3119589
7/21/2015,CA135087E679,0.015,2026/6/1,100.1216849,100.171726,100.1317671,100.1218082,100.0118493,99.7019726,99.5720137,99.43205479,99.45209589,99.65213699
10/5/2020,CA135087L443,0.005,2030/12/1,90.21056164,90.36057534,90.25058904,90.28060274,90.05061644,89.59065753,89.29067123,89.20068493,89.25069863,89.79071233
